Yaw,Speed,rpm,Pedal,RTmean_x,RTstd_x,ERmean,ERstd,AEstd,OEstd,EEstd,totalSteps,wellnessTotalKilocalories,wellnessActiveKilocalories,Yaw_Std,Speed_Std,rpm_Std,Steering_Std,Pedal_Std,a_Std,deepSleepSeconds_std,lightSleepSeconds_std,remSleepSeconds_std,awakeSleepSeconds_std,TotalSleepTime_std
1.575879777,10.1938871,1090.323167,6.095566667,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.014592009,3.769138382,284.240593,0.103306059,11.31247726,0.7815335,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.577591297,10.55469533,896.8839,4.973666667,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.012199601,5.673586638,302.2015311,0.123888524,9.617555326,0.908870942,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.56871832,12.9014549,872.3789333,5.886433333,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.005923015,7.30437741,299.7412117,0.0,14.52346834,0.791263186,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.570172143,18.16000407,1118.977733,7.684433333,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.032019599,5.354371441,336.208154,0.198454516,16.38438671,1.108507586,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.572424983,16.64670337,1085.812933,10.22543333,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.024523188,6.057897968,356.6551475,0.12138978,19.50467048,1.29103425,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.562481043,13.65329793,1016.2274,6.9705,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.037751341,7.57609243,304.5834352,0.267984463,11.55823632,0.82423533,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.57065829,12.93939407,1183.482333,6.6575,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.072610016,4.80962927,271.644506,0.583744923,9.737395356,0.92644126,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.61057078,22.94850027,1164.675967,16.97413333,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.114083043,10.70006309,246.0667124,0.223659992,14.38746606,0.604923707,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.88700148,28.76538763,1064.9068,10.6382,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.411540117,3.787407542,132.4518501,0.626927984,13.86643186,0.695615848,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
2.352395973,31.01118383,1255.178967,23.70113333,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.303378517,4.560569199,323.2870002,0.612006766,22.32879318,0.983398011,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
2.050261437,29.0851178,1176.827433,14.2111,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.556962828,3.995767741,244.2360457,0.43816365,16.45282415,0.796739549,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.632317903,26.6171043,1216.7945,14.88333333,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.585950057,4.354467966,276.0308825,0.351502175,14.29658128,0.905299265,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
2.65617011,23.00474697,1112.880733,17.79656667,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.093366214,5.694912198,306.1161114,0.247191896,16.06349345,0.720505916,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
2.211138683,33.8615496,1394.246533,14.71593333,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.263471485,7.793154462,332.2449345,0.494623072,21.26644675,0.803706725,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.951356917,18.74211063,1005.991233,6.349633333,0.420819,0.088492,1.0,0.0,0.1746,0.135135,0.218543,34200.0,5532.0,336.0,0.59358815,13.15162611,338.8782457,0.26139031,16.83097589,1.089793374,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.563518937,21.37166733,1167.3491,12.11426667,0.36272019928028165,0.07224821250507042,0.9539120003360564,0.1137782445109859,0.16113725562957745,0.15467028069182923,0.15849321171664296,34200.0,5532.0,336.0,0.014528068,3.285852562,175.4762721,0.132586462,15.24187009,0.585172551,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
1.575691227,16.21994723,1197.3214,12.02366667,0.36272019928028165,0.07224821250507042,0.9539120003360564,0.1137782445109859,0.16113725562957745,0.15467028069182923,0.15849321171664296,34200.0,5532.0,336.0,0.029724665,9.28902299,301.4077439,0.231255422,18.42262908,1.751287304,7.306170924580456,8.006017445031143,7.7086294910909645,7.525156600552968,8.67939880277501
